"problem","title","boj_code_file","tag_code_file","study_group","reason","official_tags","original_code_file"
"2669","직사각형 네개의 합집합의 면적 구하기","2669_implementation.cpp","2669.cpp","10_IMPLEMENTATION/implementation","filename:array","implementation","2669_array.cpp"
"2684","동전 게임","2684_string.cpp","2684.cpp","06_STRING/string","official:string","implementation;string","2684.cpp"
"2699","격자점 컨벡스헐","2699_convex_hull.cpp","2699.cpp","04_GEOMETRY/convex_hull","filename:convexhull","geometry;convex_hull","2699_convexhull.cpp"
"2720","세탁소 사장 동혁","2720_greedy.cpp","2720.cpp","09_PARADIGM/greedy","official:greedy","math;greedy;arithmetic","2720.cpp"
"2721","삼각수의 합","2721_math.cpp","2721.cpp","07_MATH/math","official:math","math;implementation","2721.cpp"
"2745","진법 변환","2745_string.cpp","2745.cpp","06_STRING/string","official:string","implementation;string;math","2745.cpp"
"2747","피보나치 수","2747_dp.cpp","2747.cpp","01_DP/dp","code-audit:2747_fibo_serise.cpp","math;implementation;dp","2747_fibo_serise.cpp"
"2749","피보나치 수 3","2749_fast_exponentiation.cpp","2749.cpp","07_MATH/fast_exponentiation","filename:exponentiation_by_squaring","math;exponentiation_by_squaring;pisano","2749_exponentiation_by_squaring.cpp"
"2754","학점계산","2754_string.cpp","2754.cpp","06_STRING/string","official:string","implementation;string","2754.cpp"
"2775","부녀회장이 될테야","2775_dp.cpp","2775.cpp","01_DP/dp","code+official:dp","math;implementation;dp","2775.cpp"
"2776","암기왕","2776_set_map.cpp","2776.cpp","03_DATA_STRUCTURE/set_map","official:hash_set","data_structures;sorting;binary_search;set;hash_set","2776.cpp"
"2804","크로스워드 만들기","2804_string.cpp","2804.cpp","06_STRING/string","official:string","implementation;string","2804.cpp"
"2805","나무 자르기","2805_binary_search.cpp","2805.cpp","05_SEARCH/binary_search","official:parametric_search","binary_search;parametric_search","2805.cpp"
"2822","점수 계산","2822_sorting.cpp","2822.cpp","08_TECHNIQUE/sorting","filename:sort","sorting","2822_sort.cpp"
"2844","자료 구조","2844_splay_tree.cpp","2844.cpp","03_DATA_STRUCTURE/splay_tree","filename:splay","trees;splay_tree","2844_splay.cpp"
"2845","파티가 끝나고 난 뒤","2845_math.cpp","2845.cpp","07_MATH/math","official:arithmetic","implementation;arithmetic;math","2845.cpp"
"2849","탭댄스","2849_segment_tree.cpp","2849.cpp","03_DATA_STRUCTURE/segment_tree","filename:goldseg","data_structures;segtree;set","2849_goldseg.cpp"
"2864","5와 6의 차이","2864_greedy.cpp","2864.cpp","09_PARADIGM/greedy","official:greedy","math;greedy;string;arithmetic","2864.cpp"
"2869","달팽이는 올라가고 싶다","2869_math.cpp","2869.cpp","07_MATH/math","official:math","math","2869.cpp"
"2875","대회 or 인턴","2875_math.cpp","2875.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2875.cpp"
"2884","알람 시계","2884_math.cpp","2884.cpp","07_MATH/math","official:arithmetic","math;arithmetic","2884.cpp"
"2887","행성 터널","2887_mst.cpp","2887.cpp","02_GRAPH/mst","official:mst (DSU is subordinate)","graphs;sorting;mst","2887.cpp"
"2903","중앙 이동 알고리즘","2903_math.cpp","2903.cpp","07_MATH/math","official:math","math","2903.cpp"
"2908","상수","2908_math.cpp","2908.cpp","07_MATH/math","official:math","math;implementation","2908.cpp"
"2914","저작권","2914_math.cpp","2914.cpp","07_MATH/math","official:arithmetic","implementation;arithmetic;math","2914.cpp"
"2920","음계","2920_implementation.cpp","2920.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2920.cpp"
"2953","나는 요리사다","2953_math.cpp","2953.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2953.cpp"
"3040","백설 공주와 일곱 난쟁이","3040_bruteforce.cpp","3040.cpp","05_SEARCH/bruteforce","official:bruteforcing","bruteforcing","3040.cpp"
"3046","R2","3046_math.cpp","3046.cpp","07_MATH/math","official:arithmetic","implementation;arithmetic;math","3046.cpp"
"3052","나머지","3052_set_map.cpp","3052.cpp","03_DATA_STRUCTURE/set_map","official:set","math;set;arithmetic","3052.cpp"
"3058","짝수를 찾아라","3058_math.cpp","3058.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","3058.cpp"
"3067","Coins","3067_knapsack.cpp","3067.cpp","01_DP/knapsack","filename:dp_knapsack","dp;knapsack","3067_dp_knapsack.cpp"
"3076","상근이의 체스판","3076_string.cpp","3076.cpp","06_STRING/string","official:string","implementation;string","3076.cpp"
"3151","합이 0","3151_binary_search.cpp","3151.cpp","05_SEARCH/binary_search","official:binary_search","bruteforcing;sorting;binary_search;two_pointer","3151.cpp"
"3190","뱀","3190_deque.cpp","3190.cpp","03_DATA_STRUCTURE/deque","official:deque","implementation;data_structures;simulation;deque;queue","3190.cpp"
"3273","두 수의 합","3273_two_pointer.cpp","3273.cpp","05_SEARCH/two_pointer","filename:twopointer_top_back","sorting;two_pointer","3273_twopointer_top_back.cpp"
"3323","삼각형","3323_convex_hull_segment_tree.cpp","3323.cpp","03_DATA_STRUCTURE/segment_tree","filename:cvhseg","convex_hull;data_structures;geometry;segtree","3323_cvhseg.cpp"
"3323","삼각형","3323_convex_hull_segment_tree.cpp","3323.cpp","04_GEOMETRY/convex_hull","filename:cvhseg","convex_hull;data_structures;geometry;segtree","3323_cvhseg.cpp"
"3460","이진수","3460_bitmask.cpp","3460.cpp","08_TECHNIQUE/bitmask","filename:bit","math;implementation","3460_bit.cpp"
"3584","가장 가까운 공통 조상","3584_lca.cpp","3584.cpp","02_GRAPH/lca","filename:lca_mini","graphs;graph_traversal;trees;dfs;lca","3584_lca_mini.cpp"
"3648","아이돌","3648_two_sat.cpp","3648.cpp","02_GRAPH/two_sat","filename:2sat","graphs;scc;2_sat","3648_2sat.cpp"
"3653","영화 수집","3653_segment_tree.cpp","3653.cpp","03_DATA_STRUCTURE/segment_tree","filename:segtree","data_structures;segtree","3653_segtree.cpp"
"3679","단순 다각형","3679_convex_hull.cpp","3679.cpp","04_GEOMETRY/convex_hull","filename:convex","sorting;geometry;convex_hull;angle_sorting","3679_convex.cpp"
"3980","선발 명단","3980_backtracking.cpp","3980.cpp","05_SEARCH/backtracking","filename:back_tracking","bruteforcing;backtracking","3980_back_Tracking.cpp"
"3986","좋은 단어","3986_stack.cpp","3986.cpp","03_DATA_STRUCTURE/stack","filename:string_stack","data_structures;stack","3986_string_stack.cpp"
"4101","크냐?","4101_implementation.cpp","4101.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","4101.cpp"
"4153","직각삼각형","4153_geometry.cpp","4153.cpp","04_GEOMETRY/geometry","official:geometry","math;geometry;pythagoras","4153.cpp"
"4181","Convex Hull","4181_convex_hull.cpp","4181.cpp","04_GEOMETRY/convex_hull","filename:convex_hull","sorting;geometry;convex_hull;angle_sorting","4181_convex_hull.cpp"
